gml_id;GID;RS_CHANTIER;COMMUNE;DATE_DEBUT;DATE_FIN;NUMERO_ACTE;TYPE_EMPRISE;MES_LIBELLE;GID_EMPRISE;LOCALISATION_EMPRISE;gid_acte
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.243056;243056;159161;BORDEAUX;2024-10-01;2024-10-11;24BORAJPT21341;EMPRISE;Neutralisation de voie;307680;73 - 78 cours de la Marne (Bordeaux);243056
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.243159;243159;158838;BORDEAUX;2024-10-08;2024-10-08;24BORAJPT21405;EMPRISE;"Circulation interdite;Interdiction de stationnement;Mise en impasse";307806;Rue de Macau , de la Rue de Mandron à la Rue Rivière , dans les deux sens de circulation (Bordeaux);243159
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.243646;243646;156222;BORDEAUX;2024-10-07;2024-10-18;24BORAJPT21957;;;;;243646
_726a2646-9073-11eb-97a2-135c120f17f7.146875;146875;65702;BORDEAUX;2020-05-28;2024-12-31;22BORPT00569;EMPRISE;"Mesure libre circulation;Interdiction de stationnement";187131;Rue de Saget, de la Rue Saint Vincent de Paul jusqu'au Quai de Paludate;146875
_726a2646-9073-11eb-97a2-135c120f17f7.185994;185994;124811;BORDEAUX;2023-02-20;2025-02-19;23BORPT03798;EMPRISE/EMPRISE;Mesure libre circulation,Interdiction de stationnement;236206/236205;35 Place André Meunier Dit Mureine/Rue de Lentillac du 20 jusqu'au 35 place André Meunier;185994
_726a2646-9073-11eb-97a2-135c120f17f7.205273;205273;122187;BORDEAUX;2023-09-11;2024-10-20;23BORPT20305;DEVIATION/EMPRISE/EMPRISE/DEVIATION/EMPRISE/DEVIATION;"Déviation,Neutralisation de voie;Interdiction de stationnement,Interdiction de stationnement;Neutralisation de voie,Déviation,Neutralisation de voie;Interdiction de stationnement,Déviation";260389/260384/260387/260385/260386/260388;Rue Delord, du Cours Balguerie Stuttenberg jusqu'à la Rue Josephine (Bordeaux) Rue Josephine, de la Rue Delord jusqu'au Cours Edouard Vaillant (Bordeaux)/PHASE 1: Cours Edouard Vaillant, de la Rue du Commandant Hautreux jusqu'au Cours balguerie Stuttenberg/PHASE 2: Cours Edouard Vaillant, du cours Balguerie Stuttenberg jusqu'au 100 (Bordeaux)/Cours du Raccordement, du Cours Edouard Vaillant jusqu'à la Rue Lucien Faure (Bordeaux) Rue Lucien Faure, du Cours du Raccordement jusqu'au Quai de Bacalan (Bordeaux)/PHASE 1: Cours Balguerie Stuttenberg, de la Rue Delord jusqu'à la Rue Armand Dulamon (Bordeaux)/Cours Balguerie Stuttenberg, du Cours Edouard Vaillant jusqu'à la Rue Lucien Faure (Bordeaux) Rue Lucien Faure, du Cours Balguerie Stuttenberg jusqu'au Quai de Bacalan (Bordeaux);205273
_726a2646-9073-11eb-97a2-135c120f17f7.211139;211139;132893;BORDEAUX;2023-10-30;2024-12-27;23BORPT25038;EMPRISE;Mesure libre circulation;267700;2 Rue Professeur Vezes (Bordeaux);211139
_726a2646-9073-11eb-97a2-135c120f17f7.212423;212423;81742;BORDEAUX;2023-11-20;2024-12-20;23BORPT26200;EMPRISE/DEVIATION;"Mise en impasse;Circulation interdite,Déviation";269300/269301;Rue du Faubourg des Arts (Bordeaux)/Allée Stendhal, du Cours Balguerie Stuttenberg jusqu'à la Place Paul Et Jean-Paul Avisseau (Bordeaux) Cours Balguerie Stuttenberg, de la Rue du Faubourg des Arts jusqu'à Allée Stendhal (Bordeaux) Place Paul Et Jean-Paul Avisseau, de Allée Stendhal jusqu'à la Rue du Faubourg des Arts (Bordeaux);212423
_726a2646-9073-11eb-97a2-135c120f17f7.241006;241006;157809;BORDEAUX;2024-09-16;2025-02-28;24BORAJPT19787;EMPRISE/EMPRISE;"Circulation interdite;Interdiction de stationnement;Neutralisation de voie,Mise en impasse";305177/305178;Rue Labirat, de la Rue Paul Louis Lande jusqu'au Cours Pasteur (Bordeaux) Rue de Lalande, du Cours Pasteur jusqu'à la Rue Labirat (Bordeaux)/Rue de Lalande, de la Rue Magendie jusqu'à la Rue Labirat -- Rue Maurice Lanoire (Bordeaux);241006
_726a2646-9073-11eb-97a2-135c120f17f7.228634;228634;145947;BORDEAUX;2024-05-02;2026-06-26;24BORAJPT09361;EMPRISE/EMPRISE;Mesure libre circulation,Mesure libre circulation;289401/289400;Cours Georges Clémenceau, au niveau de l'entrée sur le Cours de l'intendance/Cours de l'Intendance, du Cours Georges Clémenceau jusqu'au Cours du Chapeau Rouge (Bordeaux) Cours du Chapeau Rouge, du Cours de l'Intendance jusqu'à la Place Jean Jaurès (Bordeaux);228634
_726a2646-9073-11eb-97a2-135c120f17f7.237181;237181;155889;BORDEAUX;2024-07-19;2024-10-31;24BORAJPT16519;EMPRISE;"Interruption de circulation;Interdiction de stationnement;Rétrécissement de largeur de voie;Neutralisation de voie";300274;Cours de Gourgue (Bordeaux) Cours de la Martinique (Bordeaux) Rue d'Enghien (Bordeaux);237181
_726a2646-9073-11eb-97a2-135c120f17f7.234717;234717;154677;BORDEAUX;2024-06-19;2024-12-31;24BORAJPT14248;EMPRISE;Interdiction de stationnement;297049;Rue de Doumerc, côté pair, de face au 73 (angle rue François Daunes) jusque face au 71;234717
_726a2646-9073-11eb-97a2-135c120f17f7.238532;238532;156629;BORDEAUX;2024-08-26;2024-10-26;24BORAJPT17746;EMPRISE;"Limitation de vitesse;Interdiction de stationnement;Circulation interdite;Mise en impasse";302025;Rue Cyrano, de la Rue Cléo jusqu'à la Rue Victor Duruy (Bordeaux);238532
